fsa_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
22,Anchor Inn,"Upper Street, Stratford St Mary, COLCHESTER",CO7 6LW,604749,234404,51.970379,0.97934,Babergh
36,Ark Bar Restaurant,"Ark Bar And Restaurant, Cattawade Street, Brantham, MANNINGTREE",CO11 1RH,610194,233329,51.958698,1.057832,Babergh
74,Black Boy,"The Lady Elizabeth, 7 Market Hill, SUDBURY, Suffolk",CO10 2EA,587334,241316,52.038595,0.729915,Babergh
433110,Railway Inn,"The Railway Inn, 42 - 44 Mill Bank, Wellington, Telford, Shropshire",TF1 1SD,365804,311093,52.696426,-2.507428,Telford and Wrekin
433111,Railway Tavern,"62 Upper Bar, Newport, Shropshire",TF10 7EJ,374673,318802,52.766223,-2.376797,Telford and Wrekin
433116,Randlay Farmhouse,"Randlay Farmhouse Randlay Avenue, Randlay, Telford, Shropshire",TF3 2LH,370451,307519,52.66457,-2.438344,Telford and Wrekin
433128,Red Lion,"39 Park Street, Madeley, Telford, Shropshire",TF7 5LD,369075,304323,52.635758,-2.458393,Telford and Wrekin
433129,Red Lion Hotel,"The Red Lion Holyhead Road, Wellington, Telford, Shropshire",TF1 2EW,364510,310739,52.693169,-2.526536,Telford and Wrekin
433137,Ring O Bells,"75 King Street, Dawley, Telford, Shropshire",TF4 2AH,368670,307925,52.668124,-2.464721,Telford and Wrekin
433145,Rose And Crown Inn,"The Rose And Crown, Stirchley Village, Telford, Shropshire",TF3 1DY,369885,306666,52.656874,-2.446639,Telford and Wrekin
433170,Severn Gorge Restaurant,"The Severn Gorge, 1 Southwater Way, Telford Town Centre, Telford, Shropshire",TF3 4NL,369430,308850,52.67648,-2.453568,Telford and Wrekin
433173,Shakespeare Inn,"The Shakespeare Inn High Street, Coalport, Telford, Shropshire",TF8 7HT,369455,302590,52.620207,-2.452617,Telford and Wrekin
433193,Sir John Bayley Club,"23 Haygate Road, Wellington, Telford, Shropshire",TF1 1QX,364793,311366,52.698816,-2.522432,Telford and Wrekin
433203,Smoking Grill @ Hare & Hounds,"The Hare And Hounds Holyhead Road, Oakengates, Telford, Shropshire",TF2 6DJ,369727,310431,52.690708,-2.449322,Telford and Wrekin
433204,Society Newport,"Market Hall Stafford Street, Newport, Shropshire",TF10 7LU,374606,319133,52.769186,-2.377816,Telford and Wrekin
433233,St. Georges Sports & Social Club,"St Georges Sports And Social Club Church Street, St Georges, Telford, Shropshire",TF2 9LU,371023,310902,52.695022,-2.43019,Telford and Wrekin
433248,Station Hotel,"42 Market Street, Oakengates, Telford, Shropshire",TF2 6DU,369731,310908,52.694999,-2.449307,Telford and Wrekin
